"OBJECTID" "x" "y" "coarse" "clay" "silt" "sand" "pH" "OC" "N" "P" "K" "CEC" "pH_class"
187 626634.6404 5540329.259 4 11 21 69 5.9 13.9 1.5 10.4 62.3 8.1 "acidic"
188 622955.2351 5516279.69 2 13 24 63 6.66 9.3 1.1 50.2 147.3 7.5 "neutral"
189 658950.4766 5362713.46 8 21 31 48 7.05 18.9 2 59 226.6 15.1 "neutral"
190 656694.0403 5382693.463 9 33 34 33 6.63 44.3 5.0999999 17.8 110.9 32.6 "neutral"
191 657081.0473 5352686.338 9 21 51 28 7.48 24.4 2.0999999 16 108.7 19.5 "neutral"
192 651109.7283 5350612.627 12 22 50 28 6.67 14.2 1.6 64.4 235 16.2 "neutral"
193 646828.4278 5372565.512 4 13 26 61 6.05 10.3 1.3 60.9 224 17.9 "acidic"
194 644931.3067 5364537.629 6 33 40 28 7.46 59.7 5.4000001 24.4 100.6 39.1 "neutral"
195 640727.3611 5380492.474 9 21 32 47 7.38 49.3 4.9000001 62.3 117.1 29.6 "neutral"
196 638391.301 5406467.662 7 9 27 63 6.54 14.2 1.4 64.7 204.4 9 "neutral"
197 636573.8071 5392446.128 47 20 44 37 8.08 40.3 1.9 59.6 162.5 18.7 "alkaline"
198 636891.3437 5366441.794 4 11 24 65 6.5 10.5 1.3 59.9 198.2 7.6 "acidic"
199 634627.6686 5388416.518 13 45 33 22 7.5 66.5 6.3000002 54 192.7 54.2 "alkaline"
200 635093.0023 5352409.552 20 33 42 24 7.32 24.6 2.5 45.9 155.1 26.5 "neutral"
201 633302.4742 5336384.897 10 21 72 7 6.61 9.2 1.1 30 157.4 8.9 "neutral"
202 633533.8211 5318378.903 7 34 49 16 6.24 121.2 12.1999998 33.5 86.8 62 "acidic"
203 634042.9082 5278365.453 12 29 41 30 6.35 37.5 3.9000001 0 85.4 20.8 "acidic"
204 631636.7484 5310352.243 8 30 34 36 6.3 43.3 4.4000001 43.1 319.3 23.3 "acidic"
205 629996.8642 5282318.791 4 27 56 17 7.12 55.8 5.6999998 21.8 119.8 31.7 "neutral"
206 627332.9145 5334307.266 7 31 33 36 7.1 68.3 6.5 40.2 211.9 37.1 "neutral"
207 627794.8744 5298296.949 29 28 44 28 7.04 69.4 6.5 67.5 217 33.1 "neutral"
208 623949.7796 5286243.915 6 22 42 36 5.57 30.8 3.3 10.9 56.3 10.8 "acidic"
209 620167.6206 5424237.752 7 43 31 26 7.82 20.1 2.2 23.6 710.4 28.2 "alkaline"
210 620404.1688 5406237.081 12 36 50 14 7.19 32.3 3.3 19.1 173.9 30.8 "neutral"
211 620638.0322 5388236.86 12 30 65 5 7.54 16 1.7 28.2 298.6 19.3 "alkaline"
212 621181.6838 5346232.718 12 25 42 34 5.78 21.9 2.2 12.1 126.5 13 "acidic"
213 621413.5972 5328230.815 7 23 31 46 5.66 32.9 2.7 14.9 42.1 12.9 "acidic"
214 618957.5517 5362222.528 16 8 16 76 5.88 12.9 1.5 57.8 239.1 6.9 "acidic"
215 619620.3213 5312200.649 15 25 61 14 6.39 22.1 2.3 12.8 182.3 12.9 "acidic"
216 619671.9726 5308201.174 7 49 33 18 6.86 61.6 6.3000002 46.6 388.9 49.7 "neutral"
217 620082.2023 5276191.766 24 28 52 20 7.17 55.8 5.6999998 31.6 74.8 28.2 "neutral"
218 617109.0031 5352183.148 7 30 41 30 6.09 36.8 3.5999999 26.5 73 11.2 "acidic"
219 618032.4186 5280166.835 21 14 53 32 6.54 42 4.0999999 0 72 22.5 "neutral"
220 614145.2741 5426159.247 13 39 36 25 7.87 20.6 2.2 80.6 628 25.2 "alkaline"
221 614379.4973 5408160.047 8 31 64 6 6.48 19.1 2 71.2 594.1 20.8 "acidic"
222 614615.612 5390161.392 1 31 58 11 6.04 24.4 2.3 13.2 123.8 18.6 "acidic"
223 614901.7957 5368155.643 9 15 37 49 6.01 12.6 1.6 0 58.5 11.7 "acidic"
